symbol,Date,Open,High,Low,Close,Adj Close,Volume
li,1/11/2021,34.369999,35.040001,32.326,32.790001,32.790001,24666300
li,1/12/2021,32.380001,37.18,32.34,36.75,36.75,34306700
li,1/13/2021,36.040001,36.689999,34.540001,35.549999,35.549999,18763100
li,1/14/2021,35.369999,36.25,34.52,34.700001,34.700001,14694500
li,1/15/2021,34.259998,34.759998,32.349998,32.599998,32.599998,16619900
li,1/19/2021,33.919998,36,33.380001,35.439999,35.439999,28457100
li,1/20/2021,36.779999,37.650002,33.900002,35.599998,35.599998,26123700
li,1/21/2021,35.5,36.16,34.060001,35.369999,35.369999,14516400
li,1/22/2021,34.799999,35.32,33.959999,34.439999,34.439999,20406200
li,1/25/2021,35.040001,35.200001,31.76,31.99,31.99,37025600
li,1/26/2021,33.150002,33.84,32.099998,32.5,32.5,33539700
li,1/27/2021,31.99,32.490002,31.08,31.559999,31.559999,23233200
li,1/28/2021,31.200001,32.380001,30.629999,32.209999,32.209999,17980300
li,1/29/2021,32.41,33.279999,31.58,32.25,32.25,12491400
li,2/1/2021,32.849998,32.939999,31.1,32.040001,32.040001,12273500
li,2/2/2021,31.15,31.790001,29.530001,30.200001,30.200001,28701900
li,2/3/2021,30.09,31.09,29.58,30.73,30.73,15963300
li,2/4/2021,30.83,31.4,30.6,30.84,30.84,10549800
li,2/5/2021,30.940001,30.969999,30.09,30.4,30.4,12146500
li,2/8/2021,30.309999,30.530001,29.76,30.360001,30.360001,12329400
li,2/9/2021,30.325001,32.290001,29.85,31.870001,31.870001,21648400
li,2/10/2021,31.85,33.305,31.299999,31.5,31.5,23779500
li,2/11/2021,31.76,32.650002,31.4,31.99,31.99,14889000
li,2/12/2021,31.59,32.429001,31.200001,31.85,31.85,8124300
li,2/16/2021,31.92,32.150002,29.98,30.4,30.4,14534700
li,2/17/2021,30.1,30.32,29.27,29.74,29.74,11684700
li,2/18/2021,28.959999,30.455,28.799999,29.440001,29.440001,10843300
li,2/19/2021,29.950001,30.209999,29.450001,29.84,29.84,10237400
li,2/22/2021,29.299999,29.41,27.75,27.84,27.84,14765700
li,2/23/2021,26.450001,27.35,23.52,26.99,26.99,24590200
li,2/24/2021,27.209999,28.870001,26.1,28.68,28.68,19835000
li,2/25/2021,28.9,29.01,25.129999,25.870001,25.870001,36942200
xpev,8/27/2020,23.1,25,21.200001,21.219999,21.219999,82219700
xpev,8/28/2020,23.98,24.4,22.02,22.790001,22.790001,44847300
xpev,8/31/2020,22.690001,22.790001,20.33,20.5,20.5,20816000
xpev,9/1/2020,20.98,21.790001,20.1,21.610001,21.610001,15291400
xpev,9/2/2020,21.99,22,20.379999,21.09,21.09,9090100
xpev,9/3/2020,20.93,21.049999,20,20.030001,20.030001,7897100
xpev,9/4/2020,19.98,20.18,18.01,19.030001,19.030001,10957400
xpev,9/8/2020,17.91,18.559999,17.370001,17.73,17.73,8724000
xpev,9/9/2020,18.575001,18.65,17.91,18.07,18.07,5889000
xpev,9/10/2020,18.313999,19.504999,18.309999,19.280001,19.280001,15465200
xpev,9/11/2020,19.49,19.549999,18.360001,19.1,19.1,4259700
xpev,9/14/2020,19.139999,20.559999,18.379999,20.48,20.48,6296600
xpev,9/15/2020,20.59,21.139999,20.26,21.120001,21.120001,4332400
xpev,9/16/2020,20.66,20.780001,19.620001,19.92,19.92,4053700
xpev,9/17/2020,19.01,19.67,19.01,19.24,19.24,2888000
xpev,9/18/2020,19.440001,19.48,18.860001,18.9,18.9,2789400
xpev,9/21/2020,18.27,18.379999,17.424999,18.15,18.15,5191200
xpev,9/22/2020,18.5,19.58,18.17,19.309999,19.309999,4131300
xpev,9/23/2020,19.42,19.42,18.1,18.41,18.41,3273900
xpev,9/24/2020,18,18.17,17.110001,17.450001,17.450001,3995300
xpev,9/25/2020,17.809999,18,17.120001,17.93,17.93,5330800
xpev,9/28/2020,19.02,19.450001,18.5,19.059999,19.059999,5507500
xpev,9/29/2020,19.059999,19.200001,18.530001,18.780001,18.780001,5833800
xpev,9/30/2020,19.940001,20.09,19.16,20.07,20.07,10406000
xpev,10/1/2020,20.15,20.23,18.51,18.67,18.67,10024400
xpev,10/2/2020,18,18.559999,17.98,18.190001,18.190001,4525000
xpev,10/5/2020,19.58,20.389999,19.219999,20.040001,20.040001,14572300
xpev,10/6/2020,20.440001,20.91,19.200001,19.700001,19.700001,7054000
xpev,10/7/2020,19.98,20.59,19.85,20.16,20.16,4938600
xpev,10/8/2020,20.51,20.629999,19.719999,19.860001,19.860001,3516700
xpev,10/9/2020,19.75,20.059999,19.51,20,20,2932100
xpev,10/12/2020,20.450001,20.530001,19.76,19.879999,19.879999,4898800
xpev,10/13/2020,19.700001,19.799999,19.309999,19.639999,19.639999,3824000
xpev,10/14/2020,20.309999,22.549999,20.18,22.049999,22.049999,18302700
xpev,10/15/2020,21.93,22.76,21.049999,22.16,22.16,10449200
xpev,10/16/2020,22.98,23.1,21.32,21.77,21.77,6251900
xpev,10/19/2020,21.82,21.93,19.82,19.84,19.84,8204100
xpev,10/20/2020,20.214001,20.65,20,20.139999,20.139999,5993600
xpev,10/21/2020,20.200001,20.469999,20.01,20.42,20.42,4159700
xpev,10/22/2020,20.77,20.889999,20.139999,20.82,20.82,6382600
xpev,10/23/2020,20.9,20.93,19.950001,20.049999,20.049999,4465800
xpev,10/26/2020,20.059999,20.280001,19.200001,19.620001,19.620001,4263800
xpev,10/27/2020,19.620001,20.25,19.540001,19.9,19.9,3603800
xpev,10/28/2020,19.67,19.67,18.5,19.02,19.02,5551500
xpev,10/29/2020,19.190001,20.82,19.190001,20.719999,20.719999,10753300
xpev,10/30/2020,20.41,21.360001,19.209999,19.379999,19.379999,9323700
xpev,11/2/2020,21.469999,22.459999,20.51,20.719999,20.719999,19916300
xpev,11/3/2020,21.4,22.48,20.25,22.209999,22.209999,11308100
xpev,11/4/2020,24.040001,27.440001,23.4,27.389999,27.389999,50724000
xpev,11/5/2020,30.26,36.439999,29.799999,35.849998,35.849998,89538500
xpev,11/6/2020,36.32,39.5,33.18,34.810001,34.810001,102189400
xpev,11/9/2020,35.43,36.189999,31.280001,34.07,34.07,34809300
xpev,11/10/2020,34.389999,36.5,31.01,32.900002,32.900002,32340200
xpev,11/11/2020,31.26,33.669998,30.49,33.529999,33.529999,24899000
xpev,11/12/2020,36.48,48.57,35.599998,44.73,44.73,166146200
xpev,11/13/2020,47.959999,51.27,38,41.990002,41.990002,92071900
xpev,11/16/2020,40.529999,45.490002,39,44.099998,44.099998,39098400
xpev,11/17/2020,46.279999,47.099998,42.400002,42.91,42.91,28768600
xpev,11/18/2020,43.290001,43.970001,40.099998,42.18,42.18,26428600
xpev,11/19/2020,41.720001,48.189999,41.060001,48.110001,48.110001,35122700
xpev,11/20/2020,48.66,56.77,48.299999,53.889999,53.889999,79526200
xpev,11/23/2020,56.75,73.059998,56.540001,72.169998,72.169998,100012200
xpev,11/24/2020,72.169998,74.489998,62.77,70.629997,70.629997,99907800
xpev,11/25/2020,64.650002,67.190002,63.009998,64.269997,64.269997,49197400
xpev,11/27/2020,65.290001,68.419998,61.150002,64.279999,64.279999,26582800
xpev,11/30/2020,62.759998,62.799999,55.5,58.759998,58.759998,38926500
xpev,12/1/2020,61.790001,63.349998,51.299999,52.360001,52.360001,49213900
xpev,12/2/2020,47.009998,57.380001,46.009998,56,56,60694200
xpev,12/3/2020,56.959999,57.549999,51.450001,51.82,51.82,32475600
xpev,12/4/2020,50.34,52.919998,48.400002,49.34,49.34,27406400
xpev,12/7/2020,46.07,51.080002,46,48.299999,48.299999,37935200
xpev,12/8/2020,50.049999,51.98,48.16,48.689999,48.689999,26377400
xpev,12/9/2020,47.040001,47.709999,43.549999,44.650002,44.650002,57540500
xpev,12/10/2020,42.939999,45.080002,42.84,44.799999,44.799999,27260400
xpev,12/11/2020,44.18,46.830002,43.650002,44.310001,44.310001,22730900
xpev,12/14/2020,45.93,48.099998,44.299999,47.169998,47.169998,34420400
xpev,12/15/2020,48.599998,51.240002,47.25,49.490002,49.490002,35698900
xpev,12/16/2020,50.540001,51.07,46.75,47.400002,47.400002,22522900
xpev,12/17/2020,47.009998,47.889999,45.220001,46.380001,46.380001,20787400
xpev,12/18/2020,46.060001,48.790001,44.610001,46.380001,46.380001,24368900
xpev,12/21/2020,45.110001,47.880001,45.02,46.970001,46.970001,18790900
xpev,12/22/2020,47.419998,47.490002,43.75,45.049999,45.049999,19407600
xpev,12/23/2020,44.77,44.959999,43.080002,43.799999,43.799999,13495200
xpev,12/24/2020,43.040001,44.200001,41.639999,41.869999,41.869999,15453300
xpev,12/28/2020,41.790001,41.860001,37.5,38.009998,38.009998,30945500
xpev,12/29/2020,38.75,41.818001,37.599998,41.549999,41.549999,24437000
xpev,12/30/2020,42.830002,43.240002,41.164001,42.290001,42.290001,20341500
xpev,12/31/2020,42.779999,44.66,41.950001,42.830002,42.830002,21960200
xpev,1/4/2021,45.599998,47.689999,43.48,44.099998,44.099998,39630300
xpev,1/5/2021,44.130001,44.990002,41.619999,42.34,42.34,22844800
xpev,1/6/2021,41.57,43.970001,40.599998,41.23,41.23,23483800
xpev,1/7/2021,42.400002,45.490002,42.07,44.990002,44.990002,19662000
xpev,1/8/2021,47.919998,47.950001,44.02,45.450001,45.450001,22085400
xpev,1/11/2021,46.310001,47.240002,43.599998,44.360001,44.360001,21540000
xpev,1/12/2021,45.549999,54.75,45.360001,54.299999,54.299999,57973500
xpev,1/13/2021,53.700001,54.759998,50.34,51.66,51.66,28490600
xpev,1/14/2021,52,52.040001,49.509998,50.310001,50.310001,17764400
xpev,1/15/2021,49.330002,49.669998,46.66,47.82,47.82,19804600
xpev,1/19/2021,49.970001,54.740002,49.849998,53.84,53.84,35241600
xpev,1/20/2021,55.970001,58.369999,50.810001,52.459999,52.459999,32728400
xpev,1/21/2021,53.299999,55.68,50.529999,54.310001,54.310001,21380100
xpev,1/22/2021,54.580002,57.580002,54.200001,56.389999,56.389999,22148300
xpev,1/25/2021,58.470001,60.040001,51.66,54.650002,54.650002,23297900
xpev,1/26/2021,54.75,56.380001,52.869999,54,54,12374800
xpev,1/27/2021,51.950001,53.060001,49.400002,49.959999,49.959999,17383200
xpev,1/28/2021,49.720001,51.259998,47.759998,50.16,50.16,14453400
xpev,1/29/2021,50.009998,51,47.049999,48.18,48.18,13688000
xpev,2/1/2021,51.110001,51.34,47.630001,49.27,49.27,15679300
xpev,2/2/2021,50.130001,50.130001,46.029999,47.009998,47.009998,18144000
xpev,2/3/2021,46.990002,47.990002,45.860001,47.52,47.52,13241500
xpev,2/4/2021,47.950001,48.349998,46.939999,48.130001,48.130001,9469600
xpev,2/5/2021,48.450001,48.5,46.459999,46.93,46.93,10125000
xpev,2/8/2021,46.5,48.349998,45.599998,47.610001,47.610001,14494400
xpev,2/9/2021,47.560001,49.169998,46.080002,48.75,48.75,23543800
xpev,2/10/2021,48.720001,51.189999,47.119999,47.77,47.77,20108400
xpev,2/11/2021,48.110001,48.830002,46.299999,47.130001,47.130001,11016200
xpev,2/12/2021,46.900002,47.209999,45.880001,46.889999,46.889999,8047000
xpev,2/16/2021,47.029999,47.349998,44.43,45.009998,45.009998,14906200
xpev,2/17/2021,44.23,44.369999,41.91,43.41,43.41,15257500
xpev,2/18/2021,41.950001,42.07,39.880001,41.150002,41.150002,16870700
xpev,2/19/2021,42.459999,42.580002,40.66,40.880001,40.880001,14054100
xpev,2/22/2021,39.740002,40.470001,37.799999,38,38,22573900
xpev,2/23/2021,36.400002,38.040001,32.720001,37.91,37.91,35811800
xpev,2/24/2021,37.830002,39.080002,35.75,38.709999,38.709999,17450100
xpev,2/25/2021,38,38.009998,34.75,35.400002,35.400002,21883800
tsla,8/26/2020,412,433.200012,410.726013,430.634003,430.634003,71197000
tsla,8/27/2020,436.09201,459.119995,428.5,447.75,447.75,118465000
tsla,8/28/2020,459.023987,463.697998,437.303986,442.679993,442.679993,100406000
tsla,8/31/2020,444.609985,500.140015,440.109985,498.320007,498.320007,118374400
tsla,9/1/2020,502.140015,502.48999,470.51001,475.049988,475.049988,90119400
tsla,9/2/2020,478.98999,479.040009,405.119995,447.369995,447.369995,96176100
tsla,9/3/2020,407.230011,431.799988,402,407,407,87596100
tsla,9/4/2020,402.809998,428,372.019989,418.320007,418.320007,110321900
tsla,9/8/2020,356,368.73999,329.880005,330.209991,330.209991,115465700
tsla,9/9/2020,356.600006,369,341.51001,366.279999,366.279999,79465800
tsla,9/10/2020,386.209991,398.98999,360.559998,371.339996,371.339996,84930600
tsla,9/11/2020,381.940002,382.5,360.5,372.720001,372.720001,60717500
tsla,9/14/2020,380.950012,420,373.299988,419.619995,419.619995,83020600
tsla,9/15/2020,436.559998,461.940002,430.700012,449.76001,449.76001,97298200
tsla,9/16/2020,439.869995,457.790009,435.309998,441.76001,441.76001,72279300
tsla,9/17/2020,415.600006,437.790009,408,423.429993,423.429993,76779200
tsla,9/18/2020,447.940002,451,428.799988,442.149994,442.149994,86406800
tsla,9/21/2020,453.130005,455.679993,407.070007,449.390015,449.390015,109476800
tsla,9/22/2020,429.600006,437.76001,417.600006,424.230011,424.230011,79580800
tsla,9/23/2020,405.160004,412.149994,375.880005,380.359985,380.359985,95074200
tsla,9/24/2020,363.799988,399.5,351.299988,387.790009,387.790009,96561100
tsla,9/25/2020,393.470001,408.730011,391.299988,407.339996,407.339996,67208500
tsla,9/28/2020,424.619995,428.079987,415.549988,421.200012,421.200012,49719600
tsla,9/29/2020,416,428.5,411.600006,419.070007,419.070007,50219300
tsla,9/30/2020,421.320007,433.929993,420.470001,429.01001,429.01001,48145600
tsla,10/1/2020,440.76001,448.880005,434.420013,448.160004,448.160004,50741500
tsla,10/2/2020,421.390015,439.130005,415,415.089996,415.089996,71430000
tsla,10/5/2020,423.350006,433.640015,419.329987,425.679993,425.679993,44722800
tsla,10/6/2020,423.790009,428.779999,406.049988,413.980011,413.980011,49146300
tsla,10/7/2020,419.869995,429.899994,413.850006,425.299988,425.299988,43127700
tsla,10/8/2020,438.440002,439,425.299988,425.920013,425.920013,40421100
tsla,10/9/2020,430.130005,434.589996,426.459991,434,434,28925700
tsla,10/12/2020,442,448.73999,438.579987,442.299988,442.299988,38791100
tsla,10/13/2020,443.350006,448.890015,436.600006,446.649994,446.649994,34463700
tsla,10/14/2020,449.779999,465.899994,447.350006,461.299988,461.299988,48045400
tsla,10/15/2020,450.309998,456.570007,442.5,448.880005,448.880005,35672400
tsla,10/16/2020,454.440002,455.950012,438.850006,439.670013,439.670013,32775900
tsla,10/19/2020,446.23999,447,428.869995,430.829987,430.829987,36287800
tsla,10/20/2020,431.75,431.75,419.049988,421.940002,421.940002,31656300
tsla,10/21/2020,422.700012,432.950012,421.25,422.640015,422.640015,32370500
tsla,10/22/2020,441.920013,445.230011,424.51001,425.790009,425.790009,39993200
tsla,10/23/2020,421.839996,422.890015,407.380005,420.630005,420.630005,33717000
tsla,10/26/2020,411.630005,425.76001,410,420.279999,420.279999,28239200
tsla,10/27/2020,423.76001,430.5,420.100006,424.679993,424.679993,22686500
tsla,10/28/2020,416.480011,418.600006,406,406.019989,406.019989,25451400
